Posição,Título,Ano de lançamento,Artista(s),url,img
62,MM,1989,Marisa Monte,https://open.spotify.com/album/0ClnK9rwAeCZkW5Kda2dzv,https://i.scdn.co/image/ab67616d0000b273b3c85d7bfdaa99d038689e4a
63,Milagre dos Peixes,1973,Milton Nascimento,https://open.spotify.com/album/1LnLV4d5u0x3f7a3DOrmLd,https://i.scdn.co/image/ab67616d0000b273110ae6e26247a5a5ab118821
64,Show Opinião,1965,"Nara Leão, João do Vale e Zé Kéti",https://open.spotify.com/album/593fAOI96cu62m59KcctOK,https://i.scdn.co/image/ab67616d0000b273737f87f4e20faf20b6c8097b
65,Nelson Cavaquinho,1973,Nelson Cavaquinho,https://open.spotify.com/album/1NIA5CBKRCLpHL62x7GcAZ,https://i.scdn.co/image/ab67616d0000b2735ad9cb26071a154a467d49fa
66,Cinema Transcendental,1979,Caetano Veloso,https://open.spotify.com/album/64JvR5shy7j04mTiX0wfNp,https://i.scdn.co/image/ab67616d0000b2735c353a216f250a45f794870d
67,África Brasil,1976,Jorge Ben,https://open.spotify.com/album/0esHQqYklDPje00NUNq6py,https://i.scdn.co/image/ab67616d0000b2732a3e351bbab659d55a2fadec
68,Ventura,2003,Los Hermanos,https://open.spotify.com/album/7KMAiyOVyJLIqWxsWD7Lmd,https://i.scdn.co/image/ab67616d0000b273376d029f01458b3e714603b1
69,Samba Esquema Noise,1994,Mundo Livre S/A,https://open.spotify.com/album/3K2owtClhij5rd8N00j0Ie,https://i.scdn.co/image/ab67616d0000b273c414031e0a1b0e457deee39b
70,Getz/Gilberto,1963,"João Gilberto, Stan Getz e Tom Jobim",https://open.spotify.com/album/2W6Hvrtg2Zpc9dW4aBDbdP,https://i.scdn.co/image/ab67616d0000b2735e606bed049ef6852c524cc0
71,Noel Rosa e Aracy de Almeida,1950,Noel Rosa,https://www.youtube.com/watch?v=vTMWIKpX_NA&list=PLVnkoLiLMTm4Eb3q_haMOYS6ah8mdwrAg,
72,Jardim Elétrico,1971,Os Mutantes,https://open.spotify.com/album/1BBamdq6Y45NLtttJlBxrf,https://i.scdn.co/image/ab67616d0000b2730addca1b0547844b042ce976
73,Angela Ro Ro,1979,Angela Ro Ro,https://open.spotify.com/album/5b9KqfZmD65KQNs6vD4VBd,https://i.scdn.co/image/ab67616d0000b273cc9018510ea03599a37413f4
74,Õ Blésq Blom,1989,Titãs,https://open.spotify.com/album/29EF7CaTbAf6Jvi7ycG9ya,https://i.scdn.co/image/ab67616d0000b2734ee57e71d302d8230e267efd
75,Tim Maia,1971,Tim Maia,https://www.youtube.com/watch?v=-VogVjLUPbU,
76,A Bad Donato,1970,João Donato,https://www.youtube.com/watch?v=ri-Ppzct3pY,
77,Canções Praieiras,1954,Dorival Caymmi,https://open.spotify.com/album/0Bfo3X1yO3FHf8WqiP7EqE,https://i.scdn.co/image/ab67616d0000b2736b4936441e499332f7774de7
78,Gilberto Gil,1968,Gilberto Gil,https://open.spotify.com/album/0Hre57CORsiZN5rwHunPQu,https://i.scdn.co/image/ab67616d0000b27330e41bcc2272baae4e701d71
79,Álibi,1978,Maria Bethânia,https://open.spotify.com/album/4hjiHP3NIIzyYUgfs145zr,https://i.scdn.co/image/ab67616d0000b27382634ad97dd029a913a146fe
80,Gal Costa,1969,Gal Costa,https://open.spotify.com/album/5ZVLLME05cmciSZz4IGcZu,https://i.scdn.co/image/ab67616d0000b27395ce0914cbddd405600e1e12
81,Psicoacústica,1988,Ira!,https://open.spotify.com/album/5rY7yl2a6rbIfYeW4JlK5j,https://i.scdn.co/image/ab67616d0000b273a799ce11382bb0593e9ddad4
82,O Inimitável,1968,Roberto Carlos,https://open.spotify.com/album/2UDYrbk2ZYgb7iXEANwQjP,https://i.scdn.co/image/ab67616d0000b27329a468f3873f8861771adecd
83,Matita Perê,1973,Tom Jobim,https://open.spotify.com/album/7LJOuD7HKheBaHwwv0i3TF,https://i.scdn.co/image/ab67616d0000b2739a2c1933f915535ddcf14a2e
84,Qualquer Coisa/Jóia,1975,Caetano Veloso,https://open.spotify.com/album/1EggMJbrddGeSyNjDzDRMI,https://i.scdn.co/image/ab67616d0000b2739a2fc7dc286a9827e98881e3
